MBTI,Trait,Weight
ENTP,창의적,1.0
ENTP,호기심 많은,0.95
ENTP,논리적,0.93
ENTP,재치 있는,0.92
ENTP,자유로운,0.9
ENTP,도전적인,0.88
ENTP,사교적인,0.87
ENTP,비판적인,0.85
ENTP,유연한,0.84
ENTP,독창적인,0.83
ENTP,열정적인,0.82
ENTP,즉흥적인,0.81
ENTP,분석적인,0.8
ENTP,사고가 깊은,0.79
ENTP,다재다능한,0.78
ENTP,비전 있는,0.77
ENTP,자신감 있는,0.76
ENTP,상상력이 풍부한,0.75
ENTP,논쟁을 즐기는,0.74
ENTP,변화에 잘 적응하는,0.73
ENTP,사고의 유연성이 있는,0.72
ENTP,자기주장이 강한,0.71
ENTP,모험적인,0.7
ENTP,자기 표현이 뛰어난,0.69
ENTP,다양한 관점을 이해하는,0.68
ENTP,상황 판단이 빠른,0.67
ENTP,비판을 수용하는,0.66
ENTP,사람들을 잘 이해하는,0.65
ENTP,자기 주도적인,0.64
ENTP,기발한 아이디어를 내는,0.63
ENTP,자유로운 사고를 하는,0.62
ENTP,다양한 경험을 추구하는,0.61
ENTP,상대방의 의견을 존중하는,0.6
ENTP,문제를 해결하는 능력이 뛰어난,0.59
ENTP,자신의 의견을 강하게 주장하는,0.58
ENTP,상황을 분석하는 능력이 뛰어난,0.57
ENTP,새로운 아이디어에 열려 있는,0.56
ENTP,자신의 감정을 잘 표현하는,0.55
ENTP,다양한 사람들과 잘 어울리는,0.54
ENTP,자신의 신념을 가지고 있는,0.53
ENTP,상대방을 설득하는 능력이 뛰어난,0.52
ENTP,비즈니스 감각이 뛰어난,0.51
ENTP,자신의 목표를 명확히 하는,0.5
ENTP,상대방의 감정을 잘 이해하는,0.49
ENTP,자신의 한계를 도전하는,0.48
ENTP,다양한 아이디어를 연결하는,0.47
ENTP,자신의 의견을 잘 정리하는,0.46
ENTP,상대방과의 대화를 즐기는,0.45
ENTP,자신의 경험을 공유하는,0.44
ENTP,상대방의 장점을 잘 찾는,0.43
ENTP,자신의 감정을 잘 조절하는,0.42
ENTP,상대방과의 관계를 중요시하는,0.41
ENTJ,리더십,1.0
ENTJ,결단력,0.95
ENTJ,전략적 사고,0.93
ENTJ,효율성,0.92
ENTJ,자신감,0.9
ENTJ,목표 지향,0.89
ENTJ,분석적,0.88
ENTJ,조직적,0.87
ENTJ,직설적,0.86
ENTJ,결과 지향,0.85
ENTJ,혁신적,0.84
ENTJ,경쟁적,0.83
ENTJ,자기주도적,0.82
ENTJ,결과 중심,0.81
ENTJ,비판적 사고,0.8
ENTJ,적극적,0.79
ENTJ,문제 해결 능력,0.78
ENTJ,의사소통 능력,0.77
ENTJ,자원 관리,0.76
ENTJ,팀워크,0.75
ENTJ,신뢰성,0.74
ENTJ,적응력,0.73
ENTJ,비전 제시,0.72
ENTJ,동기 부여,0.71
ENTJ,조정 능력,0.7
ENTJ,우선순위 설정,0.69
ENTJ,자기 개선,0.68
ENTJ,결정적,0.67
ENTJ,신속한 판단,0.66
ENTJ,실행력,0.65
ENTJ,비즈니스 감각,0.64
ENTJ,자기 표현,0.63
ENTJ,정확성,0.62
ENTJ,주도적,0.61
ENTJ,창의성,0.6
ENTJ,신념,0.59
ENTJ,결과 분석,0.58
ENTJ,자기 확신,0.57
ENTJ,비판적 피드백 수용,0.56
ENTJ,자기 통제,0.55
ENTJ,사회적 영향력,0.54
ENTJ,정서적 지능,0.53
ENTJ,상황 판단,0.52
ENTJ,자기 관리,0.51
ENTJ,전문성,0.5
ENTJ,신속한 결정,0.49
ENTJ,상황 적응,0.48
ENTJ,자기 동기 부여,0.47
ENTJ,비즈니스 전략,0.46
ENTJ,효율적 의사소통,0.45
ENTJ,리더십 개발,0.44
ENTJ,자기 인식,0.43
ENTJ,상황 분석,0.42
ENTJ,팀 리더십,0.41
ENFP,열정적,1.0
ENFP,창의적,0.95
ENFP,사교적,0.93
ENFP,자유로운,0.92
ENFP,호기심 많은,0.9
ENFP,이해심 많은,0.88
ENFP,영감을 주는,0.87
ENFP,모험적인,0.85
ENFP,열린 마음,0.84
ENFP,감정적인,0.83
ENFP,유연한,0.82
